요일,방문 시간대,방문자 집중률
일요일,00~06시,4.6
일요일,06~11시,5.0
일요일,11~14시,3.9
일요일,14~18시,4.4
일요일,18~21시,2.0
일요일,21~24시,1.3
월요일,00~06시,2.2
월요일,06~11시,2.7
월요일,11~14시,2.2
월요일,14~18시,2.6
월요일,18~21시,1.3
월요일,21~24시,0.9
화요일,00~06시,1.7
화요일,06~11시,2.3
화요일,11~14시,1.9
화요일,14~18시,2.4
화요일,18~21시,1.2
화요일,21~24시,0.9
수요일,00~06시,1.6
수요일,06~11시,2.2
수요일,11~14시,2.0
수요일,14~18시,2.5
수요일,18~21시,1.2
수요일,21~24시,0.9
목요일,00~06시,1.6
목요일,06~11시,2.2
목요일,11~14시,2.0
목요일,14~18시,2.6
목요일,18~21시,1.3
목요일,21~24시,1.0
금요일,00~06시,1.9
금요일,06~11시,2.6
금요일,11~14시,2.4
금요일,14~18시,3.3
금요일,18~21시,2.0
금요일,21~24시,1.8
토요일,00~06시,3.1
토요일,06~11시,3.9
토요일,11~14시,3.8
토요일,14~18시,5.3
토요일,18~21시,3.1
토요일,21~24시,2.5
