요일,방문 시간대,방문자 집중률
일요일,00~06시,4.2
일요일,06~11시,4.7
일요일,11~14시,4.0
일요일,14~18시,4.5
일요일,18~21시,2.0
일요일,21~24시,1.2
월요일,00~06시,1.8
월요일,06~11시,2.4
월요일,11~14시,2.1
월요일,14~18시,2.6
월요일,18~21시,1.2
월요일,21~24시,0.9
화요일,00~06시,1.5
화요일,06~11시,2.2
화요일,11~14시,1.9
화요일,14~18시,2.4
화요일,18~21시,1.2
화요일,21~24시,0.8
수요일,00~06시,1.6
수요일,06~11시,2.3
수요일,11~14시,2.1
수요일,14~18시,2.6
수요일,18~21시,1.3
수요일,21~24시,0.9
목요일,00~06시,1.5
목요일,06~11시,2.2
목요일,11~14시,2.1
목요일,14~18시,2.8
목요일,18~21시,1.5
목요일,21~24시,1.1
금요일,00~06시,1.9
금요일,06~11시,2.6
금요일,11~14시,2.5
금요일,14~18시,3.6
금요일,18~21시,2.1
금요일,21~24시,1.7
토요일,00~06시,3.0
토요일,06~11시,4.0
토요일,11~14시,4.0
토요일,14~18시,5.5
토요일,18~21시,3.1
토요일,21~24시,2.3
